gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Segment,Actual_Churn,Predicted_Churn,Churn_Probability_Percent,Risk_Level,Segment_Strategy,Final_Retention_Action
Female,0,Yes,Yes,59,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),75.95,4542.35,Loyal High-Spend Customers,No,No,3.36,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Female,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.55,522.95,High-Risk High-Spend Customers,No,Yes,79.49,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,1079.45,Loyal Low-Spend Customers,No,No,0.95,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.65,38.7,New Low-Spend Customers,Yes,No,40.17,Medium Risk,Early Engagement + Welcome Offer + Service Guidance,Early Engagement + Service Guidance
Female,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.15,7555.0,Loyal High-Spend Customers,No,No,22.96,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,Loyal High-Spend Customers,Yes,Yes,73.27,High Risk,Loyalty Rewards + Premium Benefits,Priority Loyalty Offer + Proactive Support
Female,0,Yes,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24.15,800.3,New Low-Spend Customers,No,No,5.84,Low Risk,Early Engagement + Welcome Offer + Service Guidance,Regular Onboarding Communication
Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.65,155.9,New Low-Spend Customers,No,No,34.18,Medium Risk,Early Engagement + Welcome Offer + Service Guidance,Early Engagement + Service Guidance
Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,87.25,1258.6,High-Risk High-Spend Customers,Yes,Yes,86.44,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,72,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),61.2,4390.25,Loyal High-Spend Customers,No,No,3.21,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Male,1,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,280.35,High-Risk High-Spend Customers,No,Yes,86.68,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.7,180.7,New Low-Spend Customers,No,No,34.2,Medium Risk,Early Engagement + Welcome Offer + Service Guidance,Early Engagement + Service Guidance
Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.1,1122.4,High-Risk High-Spend Customers,No,Yes,85.78,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,40.2,1525.35,Loyal Low-Spend Customers,No,No,11.48,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Female,0,Yes,Yes,30,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),51.2,1561.5,Loyal Low-Spend Customers,Yes,No,38.48,Medium Risk,Maintain Service + Loyalty Communication,Customer Check-In + Loyalty Communication
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,High-Risk High-Spend Customers,Yes,Yes,90.76,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.0,209.1,High-Risk High-Spend Customers,Yes,Yes,81.63,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.35,1730.35,High-Risk High-Spend Customers,Yes,Yes,78.92,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,9,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.25,576.95,High-Risk High-Spend Customers,No,No,42.62,Medium Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Proactive Support + Personalized Offer
Male,0,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.55,1898.1,Loyal Low-Spend Customers,No,No,0.59,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Female,0,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.2,1401.4,Loyal Low-Spend Customers,No,No,0.4,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Female,0,No,No,4,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,64.4,253.0,High-Risk High-Spend Customers,No,Yes,65.69,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.3,49.3,New Low-Spend Customers,No,Yes,66.29,High Risk,Early Engagement + Welcome Offer + Service Guidance,Immediate Welcome Offer + Onboarding Support
Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),103.25,5037.55,Loyal High-Spend Customers,Yes,No,32.55,Medium Risk,Loyalty Rewards + Premium Benefits,Loyalty Reward + Customer Check-In
Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.95,59.25,New Low-Spend Customers,No,No,45.63,Medium Risk,Early Engagement + Welcome Offer + Service Guidance,Early Engagement + Service Guidance
Female,1,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.95,2869.85,High-Risk High-Spend Customers,Yes,Yes,63.87,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.5,173.0,New Low-Spend Customers,No,No,44.38,Medium Risk,Early Engagement + Welcome Offer + Service Guidance,Early Engagement + Service Guidance
Male,0,Yes,Yes,55,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),55.25,3119.9,Loyal Low-Spend Customers,No,No,2.33,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,Loyal Low-Spend Customers,No,No,5.04,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
